tier,product,platform,curated_by,payout_asset,network,product_type,apy_pct,rate_window,share_price,tvl_usd,apy_stdev_pp,apy_min_pct,apy_max_pct,tvl_change_pct,holders,top5_pct,contract_address,rate_basis
high-yield,aHYPER Looping Vault,Accountable,Hyperithm,USDC,Monad,Vault,40.08,6d,1.035022,3764,3.093,35.86,45.81,,,,0x23b148d8f389C5821739381f1FF87bB7e1162566,"Realized over the trailing 6d, from share-price growth. Current share price verified onchain."
high-yield,40 Acres Autocompounder,Harvest,,USDC,Base,Vault,12.26,30d,1.125022,1873154,6.134,5.68,33.51,-5,236,44.3,0xC777031D50F632083Be7080e51E390709062263E,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
high-yield,Arcadia USDC Autocompounder,Harvest,,USDC,Base,Vault,5.26,30d,1.089214,109987,2.407,3.21,17.57,,11,100,0xed5A6691a3663045c6D9F12f334FBc796EE12f45,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
high-yield,Bitcoin Dollar USDC,Fusion by IPOR,Bitcoin Dollar,USDC,Ethereum,Vault,11.68,30d,1.128273,631344,4.497,6.99,26.84,,68,62.2,0xf8f226da66244f89e70c5b5d1a5c5b0d505eb1d8,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
high-yield,Prime HELOC Loop,Fusion by IPOR,TAU Labs,PYUSD,Ethereum,Vault,13.61,30d,1.021081,419459,4.072,0.64,22.31,,28,86.4,0xdf8a0d3c90462c4c9b5a8697c119fa67cb84a874,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
high-yield,Wintermute Trading USD Coin,Wildcat,Wintermute,USDC,Ethereum,Credit market,8.5,fixed,,3873026,,,,-11.1,248,30,0xc9499006a149c553d18171747ed19aa7c6dd19e2,"Effective lender APR published by the market itself, not a measured onchain rate."
high-yield,Fluid Lite USD Vault,Fluid,Fluid Lite,USDC,Ethereum,Vault,8.49,30d,1.035432,37343636,0.211,8.21,9.07,7.3,787,21.9,0x273DA948ACa9261043fbdb2a857BC255ECC29012,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
high-yield,mHYPER,Midas,Hyperithm,USDC,Ethereum,Tokenized strategy,9.83,current (third-party API),,48235874,1.677,5.5,11.37,53.8,685,61.1,0x9b5528528656DBC094765E2abB79F293c21191B9,"Sourced from the Portals API: this product exposes no ERC-4626 share price to measure onchain, and the figure is disclosed as an API reading rather than a measured rate."
high-yield,Avantis USDC Vault,Avantis,,USDC,Base,Vault,8.53,30d,1.34875,20802792,1.487,5.33,12.23,-58.2,,,0x944766f715b51967E56aFdE5f0Aa76cEaCc9E7f9,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
stable,Aave v3 USDC Market,Aave,Aave DAO,USDC,Ethereum,Lending market,3.13,current,,2158450409,,,,-6.5,,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"Current supply rate, read from the Aave v3 Pool contract."
stable,Staked USDe,Ethena,Ethena DAO,USDe,Ethereum,Yield-bearing stablecoin,3.87,30d,1.240802,1535714860,0.439,3.16,5.45,-29,11738,70.3,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
stable,syrupUSDC,Maple,Maple Finance,USDC,Ethereum,Yield-bearing stablecoin,4.9,30d,1.175307,1046811904,0.163,4.61,5.22,-2.9,3155,81.4,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
stable,Savings USDS,Sky,Sky Ecosystem,sUSDS,Ethereum,Savings rate,3.55,30d,1.104254,4689144464,0.029,3.56,3.65,-12.8,5894,63.2,0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,"Realized over the trailing 30d, from share-price growth. Current share price verified onchain."
